Querter,Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q3-2023),2022 Passengers (10% sample)
2,2020,CDV,Merle K Mudhole Smith,Cordova,AK,425.96,508.83, 562 
2,2020,ALO,Waterloo Regional,Waterloo,IA,240.14,286.86, 555 
2,2020,VEL,Vernal Regional,Vernal,UT,468.86,560.09, 545 
2,2020,EKO,Elko Regional,Elko,NV,401.10,479.14, 527 
2,2020,MEI,Key Field,Meridian,MS,359.41,429.34, 522 
2,2020,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,313.19,374.13, 514 
2,2020,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,414.50,495.15, 496 
2,2020,PIR,Pierre Regional,Pierre,SD,464.08,554.37, 484 
2,2020,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,177.00,211.44, 482 
2,2020,WRG,Wrangell Airport,Wrangell,AK,495.89,592.37, 478 
2,2020,VCT,Victoria Regional,Victoria,TX,486.00,580.56, 441 
2,2020,CNY,Canyonlands Regional,Moab,UT,369.25,441.09, 440 
2,2020,OWB,Owensboro Daviess County Regional,Owensboro,KY,104.69,125.06, 440 
2,2020,PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,371.41,443.67, 434 
2,2020,INL,Falls International Einarson Field,International Falls,MN,325.25,388.53, 407 
2,2020,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,440.77,526.53, 402 
2,2020,SLN,Salina Regional,Salina,KS,351.88,420.35, 388 
2,2020,DEC,Decatur Airport,Decatur,IL,324.67,387.83, 377 
2,2020,ATY,Watertown Regional,Watertown,SD,471.27,562.96, 367 
2,2020,APN,Alpena County Regional,Alpena,MI,421.16,503.10, 333 
2,2020,JLN,Joplin Regional,Joplin,MO,288.46,344.58, 332 
2,2020,PAH,Barkley Regional,Paducah,KY,397.96,475.39, 323 
2,2020,DRT,Del Rio International,Del Rio,TX,296.10,353.71, 320 
2,2020,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,388.75,464.39, 290 
2,2020,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,264.09,315.47, 284 
2,2020,JMS,Jamestown Regional,Jamestown,ND,437.20,522.26, 279 
2,2020,LBL,Liberal Mid-America Regional,Liberal,KS,370.09,442.10, 273 
2,2020,WYS,Yellowstone,West Yellowstone,MT,283.65,338.84, 272 
2,2020,SHD,Shenandoah Valley Regional,Staunton,VA,423.77,506.22, 265 
2,2020,YAK,Yakutat Airport,Yakutat,AK,566.48,676.70, 260 
2,2020,CVN,Clovis Regional,Clovis,NM,547.50,654.02, 250 
2,2020,HYS,Hays Regional,Hays,KS,345.56,412.80, 231 
2,2020,DVL,Devils Lake Regional,Devils Lake,ND,377.50,450.95, 219 
2,2020,DDC,Dodge City Regional,Dodge City,KS,368.18,439.81, 213 
2,2020,OGS,Ogdensburg International,Ogdensburg,NY,332.71,397.44, 198 
2,2020,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,340.93,407.27, 180 
2,2020,GST,Gustavus Airport,Gustavus,AK,188.25,224.88, 175 
2,2020,LWB,Greenbrier Valley,Lewisburg,WV,334.09,399.09, 169 
2,2020,PUB,Pueblo Memorial,Pueblo,CO,337.32,402.95, 168 
2,2020,LEB,Lebanon Municipal,Lebanon-Hanover,NH,1120.50,1338.51, 166 
2,2020,MKG,Muskegon County,Muskegon,MI,407.75,487.08, 151 
2,2020,CGI,Cape Girardeau Regional,Cape Girardeau,MO,529.87,632.96, 147 
2,2020,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,315.49,376.87, 147 
2,2020,AUG,Augusta State,Augusta/Waterville,ME,803.50,959.83, 129 
